county,year,average_price
Sligo,2023,215258.7014137931
Kilkenny,2019,214859.91523043945
Westmeath,2021,213775.9873025732
Limerick,2020,213530.92762460234
Clare,2021,212124.192467903
Monaghan,2023,211838.60487985212
Meath,2015,210981.18753160746
Galway,2017,210611.50058402008
Cavan,2023,210400.55300349244
Roscommon,2024,210110.5538029925
Kilkenny,2010,209911.41915451895
Carlow,2020,208628.9662022901
Tipperary,2022,206460.91510344826
Wexford,2020,206341.88363439697
Cork,2015,206263.85581814835
Cork,2016,205635.41473804903
Louth,2018,204860.1186918239
Mayo,2023,204458.13374167777
Kerry,2020,203108.13325818183
Cavan,2022,202533.20104166667
Kilkenny,2018,201876.11205040093
Donegal,2024,201339.1255358317
Longford,2025,200727.70197959183
Limerick,2019,200434.9409032554
Laois,2020,200243.99997322625
Sligo,2022,199484.79853535353
Cork,2011,198666.08568785578
Kildare,2013,198171.31894894896
Westmeath,2020,198055.5581302521
Waterford,2020,197553.4458777541
Meath,2011,197479.61666666667
Galway,2011,195593.4000417973
Kildare,2012,194655.90884289745
Mayo,2022,193903.69891165174
Limerick,2018,193277.68090951277
Waterford,2019,192178.31386464264
Longford,2023,192126.58331313133
Offaly,2021,191434.7679331683
Donegal,2023,190480.26569828723
Leitrim,2024,190347.52430020284
Longford,2024,190076.62025
Limerick,2010,190026.8239657444
Louth,2010,189616.76551020407
Wexford,2019,189452.70377754996
Galway,2016,189162.87581557536
Clare,2020,188525.69829555758
Kerry,2010,188044.86100318472
Meath,2014,187093.62161916314
Clare,2019,187084.76323671496
Kerry,2019,186194.32382261087
Donegal,2022,182891.42465358676
Tipperary,2021,182276.1880969697
Westmeath,2019,181563.40116455697
Waterford,2010,181083.91302832245
Roscommon,2023,179975.00933035713
Cavan,2021,179971.9856243094
Kilkenny,2017,179888.0594022416
Wexford,2010,179564.3175239398
Kilkenny,2016,179093.9605670816
Meath,2012,178087.69503703705
Cork,2014,177917.5103676785
Roscommon,2022,177887.00124468084
Westmeath,2018,176766.36846525097
Sligo,2021,175990.89178197065
Clare,2010,175869.01599605524
Waterford,2018,175246.94084427768
Wexford,2018,175069.37629405287
Laois,2019,175059.28268935237
Carlow,2019,174866.72225997047
Cork,2013,174367.77467588327
Carlow,2010,174220.63186147186
Cork,2012,174150.46954775686
Monaghan,2021,172017.50872570195
Leitrim,2023,171511.63347091933
Clare,2018,171305.70415532426
Meath,2013,170807.2943681592
Monaghan,2020,170755.17383378017
Carlow,2018,170715.5546569343
Galway,2015,168732.77088214539
Leitrim,2022,168562.96844677138
Clare,2017,168293.34850998464
Offaly,2020,167180.03995319814
Clare,2016,167161.12663851352
Limerick,2011,167049.08748971194
Sligo,2011,166868.22752136752
Kilkenny,2011,166669.5836440678
