year,avg_log_price
2010,5.3103680604390755
2011,5.231176103184831
2012,5.167976897404563
2013,5.154427509175928
2014,5.161279027706267
2015,5.185407990894527
2016,5.218222567868395
2017,5.267318151049641
2018,5.296619706403872
2019,5.318746339253728
2020,5.322894006104982
2021,5.3687360313782095
2022,5.419320612609049
2023,5.440198136358615
2024,5.474368289505694
2025,5.5120576072713785
