county,year,new_building_count
Westmeath,2020,95
Cavan,2020,78
Kilkenny,2020,63
Offaly,2020,52
Carlow,2020,49
Roscommon,2020,46
Leitrim,2020,33
Monaghan,2020,30
Sligo,2020,30
Longford,2020,15
Dublin,2021,2437
Kildare,2021,1402
Cork,2021,1165
Meath,2021,893
Wicklow,2021,595
Louth,2021,432
Galway,2021,377
Wexford,2021,279
Waterford,2021,219
Laois,2021,214
Limerick,2021,181
Mayo,2021,144
Westmeath,2021,131
Donegal,2021,128
Sligo,2021,118
Kerry,2021,116
Kilkenny,2021,108
Carlow,2021,107
Offaly,2021,106
Clare,2021,99
Monaghan,2021,74
Tipperary,2021,62
Cavan,2021,61
Roscommon,2021,54
Leitrim,2021,46
Longford,2021,20
Dublin,2022,2950
Kildare,2022,1617
Cork,2022,1261
Meath,2022,940
Wicklow,2022,725
Louth,2022,470
Wexford,2022,469
Galway,2022,337
Waterford,2022,329
Limerick,2022,272
Offaly,2022,198
Donegal,2022,167
Kerry,2022,153
Westmeath,2022,148
Mayo,2022,133
Sligo,2022,125
Clare,2022,123
Laois,2022,122
Carlow,2022,97
Kilkenny,2022,94
Tipperary,2022,83
Monaghan,2022,55
Cavan,2022,45
Roscommon,2022,44
Leitrim,2022,28
Longford,2022,17
Dublin,2023,2998
Kildare,2023,1893
Cork,2023,1683
Meath,2023,906
Wicklow,2023,863
Louth,2023,461
Galway,2023,450
Wexford,2023,395
Waterford,2023,325
Laois,2023,296
Limerick,2023,267
Kilkenny,2023,239
Westmeath,2023,226
Donegal,2023,160
Offaly,2023,133
Kerry,2023,124
Mayo,2023,118
Tipperary,2023,109
Carlow,2023,90
Roscommon,2023,88
Clare,2023,81
Sligo,2023,63
Monaghan,2023,62
Cavan,2023,43
Longford,2023,22
Leitrim,2023,15
Dublin,2024,3835
Cork,2024,1983
Kildare,2024,1248
Wicklow,2024,1001
Meath,2024,807
Louth,2024,519
Wexford,2024,494
Laois,2024,390
Waterford,2024,385
Galway,2024,325
Limerick,2024,315
Kilkenny,2024,266
Westmeath,2024,238
Offaly,2024,187
Clare,2024,174
Donegal,2024,133
Tipperary,2024,116
Carlow,2024,104
Mayo,2024,100
Kerry,2024,70
Sligo,2024,70
Cavan,2024,69
Roscommon,2024,53
Monaghan,2024,38
Leitrim,2024,15
Longford,2024,8
Dublin,2025,3790
Cork,2025,2175
Kildare,2025,1494
Meath,2025,1026
Wicklow,2025,892
Louth,2025,805
Galway,2025,598
Laois,2025,478
Wexford,2025,460
Limerick,2025,433
Waterford,2025,396
Westmeath,2025,313
Kilkenny,2025,305
Tipperary,2025,223
Clare,2025,169
Sligo,2025,151
Donegal,2025,127
Offaly,2025,104
Mayo,2025,101
Kerry,2025,82
Cavan,2025,76
Carlow,2025,67
Monaghan,2025,60
Roscommon,2025,54
Leitrim,2025,35
Longford,2025,11
